wavelength_nm,large_diameter_um,middle_diameter_um,small_diameter_um,gap1_um,gap2_um,converged,loss_db_km,characteristic_abs,relative_smin,root_message,target_used_for_selection
1310.0,30.4,24.8,8.4,4.599999999999998,15.4,True,3.0720771977577375,1.0471944066895007e-12,6.000662869827174e-14,The solution converged.,False
1550.0,30.4,24.8,8.4,4.599999999999998,15.4,False,,,,No independently verified fundamental-like root. No optimizer result stayed on 1.5<Re(u)<3.5 and -1<Im(u)<0.,False
1310.0,31.049999999999997,22.7,7.0,7.349999999999998,14.7,True,1.3265073193731176,2.5999919636823555e-13,1.58380729845482e-14,The solution converged.,False
1550.0,31.049999999999997,22.7,7.0,7.349999999999998,14.7,True,0.49904936896325913,2.507277293959237e-12,6.809510283889534e-14,The solution converged.,False
1310.0,31.049999999999997,22.7,7.7,7.349999999999998,14.0,True,1.039000397092522,6.568195376582706e-13,4.057842329418397e-14,The solution converged.,False
1550.0,31.049999999999997,22.7,7.7,7.349999999999998,14.0,True,0.3941050064050841,2.8486135785564646e-13,6.30528363799694e-15,The solution converged.,False
1310.0,31.049999999999997,22.7,8.4,7.349999999999998,13.299999999999999,True,0.8550632629874518,3.468242561144297e-13,1.7770996126386527e-14,The solution converged.,False
1550.0,31.049999999999997,22.7,8.4,7.349999999999998,13.299999999999999,True,0.32661504512749184,2.18702488098852e-12,5.1437791813017694e-14,The solution converged.,False
1310.0,31.049999999999997,23.75,7.0,6.299999999999997,15.75,True,2.49943971883788,9.433555980538773e-13,7.612362111511718e-14,The solution converged.,False
1550.0,31.049999999999997,23.75,7.0,6.299999999999997,15.75,True,0.9371038474304063,2.091374835057162e-12,7.439544830588195e-14,The solution converged.,False
1310.0,31.049999999999997,23.75,7.7,6.299999999999997,15.05,True,1.7647587876420283,4.1973119161063573e-13,3.2579256394785673e-14,The solution converged.,False
1550.0,31.049999999999997,23.75,7.7,6.299999999999997,15.05,True,0.6695769736160354,8.3913278407816e-15,2.23880594322049e-16,The solution converged.,False
1310.0,31.049999999999997,23.75,8.4,6.299999999999997,14.35,True,1.3412617977453003,3.370106147653081e-13,2.0888824581997528e-14,The solution converged.,False
1550.0,31.049999999999997,23.75,8.4,6.299999999999997,14.35,True,0.5135717281091479,1.674768880911306e-12,4.721419103050663e-14,The solution converged.,False
1310.0,31.049999999999997,24.8,7.0,5.2499999999999964,16.8,True,6.488996086589089,7.70503575281611e-13,7.92420971943013e-14,The solution converged.,False
1550.0,31.049999999999997,24.8,7.0,5.2499999999999964,16.8,True,2.40268052321493,7.022531645096106e-13,3.384132416948756e-14,The solution converged.,False
1310.0,31.049999999999997,24.8,7.7,5.2499999999999964,16.1,True,3.8276770677389793,3.0754141376911617e-13,2.7840621294449357e-14,The solution converged.,False
1550.0,31.049999999999997,24.8,7.7,5.2499999999999964,16.1,True,1.4484452562061412,6.749449106755648e-13,2.3155251487266964e-14,The solution converged.,False
1310.0,31.049999999999997,24.8,8.4,5.2499999999999964,15.4,True,2.57461561516123,1.7605826746486384e-12,1.1962047659274558e-13,The solution converged.,False
1550.0,31.049999999999997,24.8,8.4,5.2499999999999964,15.4,True,0.9881967586026219,3.8693208570676784e-13,1.280980048115248e-14,The solution converged.,False
1310.0,31.7,22.7,7.0,8.0,14.7,True,1.2559184958474041,2.7967775779341744e-13,1.8751532551022467e-14,The solution converged.,False
1550.0,31.7,22.7,7.0,8.0,14.7,True,0.4692163667330252,1.4332427306704928e-12,5.156356752565614e-14,The solution converged.,False
1310.0,31.7,22.7,7.7,8.0,14.0,True,0.9840113773421297,9.33027203691665e-13,6.04722565632569e-14,The solution converged.,False
1550.0,31.7,22.7,7.7,8.0,14.0,True,0.3706483991988524,1.7239966984697203e-12,5.99010676449772e-14,The solution converged.,False
1310.0,31.7,22.7,8.4,8.0,13.299999999999999,True,0.8099936088329959,1.3926614690763741e-12,8.32422687527508e-14,The solution converged.,False
1550.0,31.7,22.7,8.4,8.0,13.299999999999999,True,0.30724028068948195,1.0697858309356876e-12,3.371625447729799e-14,The solution converged.,False
