case,launch_power_per_channel_dbm,paper_reference_throughput_tbps,physical_model_throughput_tbps,equivalent_eq1_fit_throughput_tbps,physical_residual_tbps,equivalent_fit_residual_tbps
SMF,23.0,2.86486791675,2.7761485112,2.86532397816,-0.0887194055456,0.000456061412446
SMF,24.0,1.88944263197,1.82818000574,1.88965756278,-0.0612626262345,0.000214930808844
SMF,25.0,1.22800167451,1.18694595797,1.22809756577,-0.0410557165461,9.58912623332e-05
SMF,26.0,0.790024761563,0.763076287504,0.790065902412,-0.0269484740586,4.11408490716e-05
SMF,27.0,0.504783872902,0.487340487068,0.504801053298,-0.0174433858345,1.71803962091e-05
SMF,28.0,0.321078371674,0.30989069023,0.321085414932,-0.0111876814432,7.04325818257e-06
SMF,29.0,0.203632189969,0.196499269762,0.203635040462,-0.00713292020784,2.85049204385e-06
SMF,30.0,0.128903986489,0.124373557531,0.128905129034,-0.00453042895799,1.14254520175e-06
SMF,31.0,0.0815015843034,0.0786310888034,0.0815020384483,-0.00287049549996,4.54144886919e-07
SMF,32.0,0.0514914632593,0.0496755066667,0.0514916421764,-0.00181595659266,1.78917027666e-07
SMF,33.0,0.0325158386503,0.031368132534,0.0325159083272,-0.00114770611627,6.96769151196e-08
SMF,34.0,0.0205268432682,0.0198019260866,0.0205268699362,-0.000724917181677,2.66679849904e-08
SMF,35.0,0.0129558411817,0.0124981451235,0.0129558510995,-0.000457696058183,9.91779521529e-09
SMF,36.0,0.00817628764374,0.00788737978853,0.00817629114525,-0.000288907855212,3.50151016688e-09
SMF,37.0,0.00515956759022,0.00497723081391,0.00515956870079,-0.000182336776307,1.11057312738e-09
SMF,38.0,0.00325573738908,0.00314067145509,0.00325573765202,-0.000115065933984,2.62944613132e-10
SMF,39.0,0.00205433905175,0.00198172971022,0.00205433904328,-7.26093415317e-05,-8.46874957314e-12
SMF,40.0,0.00129624316679,0.00125042672611,0.001296243092,-4.58164406815e-05,-7.47862561809e-11
SMF,41.0,0.000817891207769,0.000788981776571,0.00081789113293,-2.8909431198e-05,-7.48386069912e-11
SMF,42.0,0.000516061257034,0.00049782015686,0.000516061198803,-1.82411001746e-05,-5.82309206279e-11
SMF,43.0,0.000325615344523,0.000314105796433,0.000325615303399,-1.15095480907e-05,-4.11245257683e-11
SMF,44.0,0.000205450469673,0.000198188359358,0.000205450441981,-7.26211031488e-06,-2.76926020635e-11
SMF,45.0,0.00012963091136,0.0001250487991,0.000129630893192,-4.58211226039e-06,-1.81678066417e-11
SMF,46.0,8.17917462206e-05,7.89006167286e-05,8.1791734481e-05,-2.89112949202e-06,-1.17395715273e-11
SMF,47.0,5.16071709234e-05,4.97829867143e-05,5.1607163406e-05,-1.82418420913e-06,-7.51742734766e-12
SMF,48.0,3.25619505642e-05,3.14109662204e-05,3.25619457777e-05,-1.15098434389e-06,-4.7865108822e-12
SMF,49.0,2.05452126249e-05,1.98189898377e-05,2.0545209586e-05,-7.26222787171e-07,-3.03888463127e-12
SMF,50.0,1.29631570856e-05,1.25049411783e-05,1.29631551618e-05,-4.58215907358e-07,-1.92381250226e-12
SMF,51.0,8.17920087713e-06,7.89008606344e-06,8.17919966127e-06,-2.89114813691e-07,-1.21585612062e-12
SMF,52.0,5.16072754442e-06,4.9783083833e-06,5.16072677542e-06,-1.82419161127e-07,-7.69001070369e-13
SMF,53.0,3.25619921748e-06,3.14110048856e-06,3.2561987326e-06,-1.15098728923e-07,-4.84878983939e-13
SMF,54.0,2.05452291897e-06,1.98190052201e-06,2.05452261178e-06,-7.2622396957e-08,-3.07185136787e-13
SMF,55.0,1.29631636811e-06,1.250494731e-06,1.29631617574e-06,-4.58216371141e-08,-1.92371028021e-13
SMF,56.0,8.17920350279e-07,7.89008850162e-07,8.17920227532e-07,-2.8911500117e-08,-1.22747379222e-13
SMF,57.0,5.1607285896e-07,4.97830935612e-07,5.1607278193e-07,-1.82419233477e-08,-7.70303558226e-14
SMF,58.0,3.25619963521e-07,3.14110087537e-07,3.2561991581e-07,-1.15098759842e-08,-4.77108924238e-14
SMF,59.0,2.05452308443e-07,1.9819006729e-07,2.05452276873e-07,-7.26224115302e-09,-3.15700465891e-14
SMF,60.0,1.29631643492e-07,1.25049480147e-07,1.29631624029e-07,-4.58216334496e-09,-1.94628549496e-14
