fiber,alpha_dB_km,D_ps_nm_km,gamma_W_inv_km,modulation,spacing_GHz,net_SE_bit_s_Hz,paper_Lmax_km,paper_required_OSNR_dB_0p1nm,digitization_uncertainty_pct,gn_eta_W_inv2,gn_one_span_nli_W_at_0dBm,ase_one_span_W,gn_Lmax_km,gn_popt_dBm,gn_error_pct,gn_signed_error_pct,required_snr_db
SMF,0.22,16.7,1.3,QPSK,50.0,2.0,4100,13.97,4,428.41261994395757,4.284126199439576e-07,2.0424250024002713e-06,4400.0,1.2575128901179835,7.317073170731707,7.317073170731707,9.887600346881506
SMF,0.22,16.7,1.3,QPSK,38.4,2.6042,3600,14.23,4,619.6486920582277,6.196486920582277e-07,2.0424250024002713e-06,3700.0,0.7232352841964367,2.7777777777777777,2.7777777777777777,10.147600346881504
SMF,0.22,16.7,1.3,QPSK,35.2,2.8409,3300,14.71,4,725.5966252909552,7.255966252909552e-07,2.0424250024002713e-06,3100.0,0.49473622804902906,6.0606060606060606,-6.0606060606060606,10.627600346881504
SMF,0.22,16.7,1.3,QPSK,33.6,2.9762,2800,15.23,4,795.43757285083,7.9543757285083e-07,2.0424250024002713e-06,2700.0,0.36170007120994024,3.571428571428571,-3.571428571428571,11.147600346881504
SMF,0.22,16.7,1.3,QPSK,32.8,3.0488,2500,15.69,4,836.314573318965,8.36314573318965e-07,2.0424250024002713e-06,2400.0,0.28915485960351867,4.0,-4.0,11.607600346881505
SMF,0.22,16.7,1.3,QPSK,32.0,3.125,2200,16.27,5,881.6534317027813,8.816534317027813e-07,2.0424250024002713e-06,2000.0,0.2127274010497661,9.090909090909092,-9.090909090909092,12.187600346881503
SMF,0.22,16.7,1.3,8QAM,50.0,3.0,1600,18.1,5,428.41261994395757,4.284126199439576e-07,2.0424250024002713e-06,1700.0,1.2575128901179835,6.25,6.25,14.017600346881505
SMF,0.22,16.7,1.3,8QAM,38.4,3.9063,1400,18.56,5,619.6486920582277,6.196486920582277e-07,2.0424250024002713e-06,1300.0,0.7232352841964367,7.142857142857142,-7.142857142857142,14.477600346881502
SMF,0.22,16.7,1.3,8QAM,35.2,4.2614,1000,19.77,6,725.5966252909552,7.255966252909552e-07,2.0424250024002713e-06,900.0,0.49473622804902906,10.0,-10.0,15.687600346881503
SMF,0.22,16.7,1.3,8QAM,33.6,4.4643,600,21.65,7,795.43757285083,7.9543757285083e-07,2.0424250024002713e-06,600.0,0.36170007120994024,0.0,0.0,17.567600346881502
SMF,0.22,16.7,1.3,8QAM,32.8,4.5732,400,24.27,8,836.314573318965,8.36314573318965e-07,2.0424250024002713e-06,300.0,0.28915485960351867,25.0,-25.0,20.187600346881503
SMF,0.22,16.7,1.3,16QAM,50.0,4.0,800,21.2,5,428.41261994395757,4.284126199439576e-07,2.0424250024002713e-06,800.0,1.2575128901179835,0.0,0.0,17.117600346881503
SMF,0.22,16.7,1.3,16QAM,38.4,5.2083,600,21.91,5,619.6486920582277,6.196486920582277e-07,2.0424250024002713e-06,600.0,0.7232352841964367,0.0,0.0,17.827600346881503
SMF,0.22,16.7,1.3,16QAM,36.8,5.4348,500,22.42,6,666.9306993851375,6.669306993851375e-07,2.0424250024002713e-06,500.0,0.6167847125684938,0.0,0.0,18.337600346881505
SMF,0.22,16.7,1.3,16QAM,35.2,5.6818,300,24.65,8,725.5966252909552,7.255966252909552e-07,2.0424250024002713e-06,300.0,0.49473622804902906,0.0,0.0,20.567600346881502
NZDSF,0.22,3.8,1.5,BPSK,50.0,1.0,5000,10.94,5,1694.3773003756646,1.6943773003756647e-06,2.0424250024002713e-06,5600.0,-0.7329800065123573,12.0,12.0,6.857600346881504
NZDSF,0.22,3.8,1.5,BPSK,38.4,1.3021,4500,11.17,5,2560.5589954770703,2.5605589954770707e-06,2.0424250024002713e-06,4600.0,-1.3307288795727907,2.2222222222222223,2.2222222222222223,7.087600346881504
NZDSF,0.22,3.8,1.5,BPSK,35.2,1.4205,4100,11.42,5,3046.4695718050098,3.04646957180501e-06,2.0424250024002713e-06,4100.0,-1.5822690738282918,0.0,0.0,7.337600346881504
NZDSF,0.22,3.8,1.5,BPSK,33.6,1.4881,3500,11.81,5,3363.4930181764307,3.363493018176431e-06,2.0424250024002713e-06,3700.0,-1.725581359779618,5.714285714285714,5.714285714285714,7.727600346881505
